title,url,price,cash_back,points,total,indicator
"Wanski Tempered Glass Screen Protector Compatible for iPhone 11 Pro Max, iPhone Xs Max, Guide Frame/Easy Installation[3 Pack] [6.5 Inch]",https://www.cashbackbase.com/offer/Wanski-Protector-Compatible-Responsive-Installation/9780,9.99,5.1,102.0,4.890000000000001,498.7800000000001
"Wanski Screen Protector for iPhone xr/iPhone 11 (3 Packs) 0.33mm, iPhone Xr/iPhone 11 Tempered Glass Screen Protector with Advanced Clarity [3D Touch] 100% Touch Accurate",https://www.cashbackbase.com/offer/Wanski-Compatible-Anti-Scratch-Anti-Fingerprint-Installation/9774,9.99,5.1,102.0,4.890000000000001,498.7800000000001
"Wanski Screen Protector Compatible for iPhone 11 Pro & iPhone Xs & iPhone X, Tempered Glass Screen Protector, Bubble Free with Guide Frame/Easy Installation [3 Pack] [5.8 Inch]",https://www.cashbackbase.com/offer/Wanski-Protector-Compatible-Tempered-Installation/9778,9.99,5.1,102.0,4.890000000000001,498.7800000000001
INSHERE Stripe Yellow Gold Mustard Solid Color Knitted Woven Throw Blanket with Tassels Fringe Soft Warm Lightweight All Season Home Decor for Couch Bed Chair Sofa Travel Beach Picnic 51''x67'',https://www.cashbackbase.com/offer/Inshere-Bohemian-Blanket-Tassels-Lightweight/10381,22.99,21.84,437.0,1.1499999999999986,502.5499999999994
Apple MFI Certified Lightning to 3.5mm Headphone Jack Adapte (White),https://www.cashbackbase.com/offer/Apple-Certified-Lightning-Headphone-Adapte/7285,10.5,9.98,998.0,0.5199999999999996,518.9599999999996
"USB C Charger, Mangotek 30W Type C PD Fast Charger Adapter Power Delivery USB C Wall Charger for iPhone 11/11 Pro/11 Pro Max/XR/XS/X/iPad Pro, Samsung S20 A80 Huawei P30 P20 Galaxy S10 and More",https://www.cashbackbase.com/offer/Charger-Mangotek-Adapter-Delivery-Samsung/9843,16.99,15.29,306.0,1.6999999999999993,520.1999999999998
"Seydrey Darts, Soft Tip Darts, Plastic Tip Dart of 12 Pcs 18 Gram, 18 Aluminum Shafts 100 Extra Dart Tips 21 Flights Rubber O'rings Tool Kit for Beginners Professional Players",https://www.cashbackbase.com/offer/Seydrey-Plastic-Aluminum-Beginners-Professional/10496,16.99,15.29,306.0,1.6999999999999993,520.1999999999998
"Battery Operated LED Desk Lamp - Rechargeable Reading Lamp Flexible Gooseneck,Honesorn 3 Color Modes Touch Table Lamp with Pen Holder,Stepless Dimmable Desk lamp for Dorm Study Office Bedroom",https://www.cashbackbase.com/offer/Battery-Operated-LED-Desk-Lamp/10260,16.99,15.29,306.0,1.6999999999999993,520.1999999999998
"Homuguz 600GSM Microfiber Cleaning Cloth 12""x12"" for Car 6 Pack, Highly Absorbent Rags for House Window Floor",https://www.cashbackbase.com/offer/Homuguz-600gsm-Microfiber-Cleaning-Kitchen/10435,12.99,10.4,208.0,2.59,538.72
Nexus Labs Detox with Milk Thistle Extracts – Fast Removal of Toxins and Impurities from Urinary Tract Kidneys and Liver in 7 to 10 Days (60 Veggie Capsules),https://www.cashbackbase.com/offer/Nexus-Labs-Detox-Thistle-Extracts/8178,27.99,26.99,540.0,1.0,540.0
